order_id,city,zone,distance_km,estimated_time_min,order_value,base_delivery_fee,surge_multiplier,weather,rain_intensity,temperature,humidity,wind_speed,traffic_level,hour_of_day,day_of_week,is_weekend,festival_flag,restaurant_prep_time,historical_rider_speed,historical_acceptance_rate_zone,historical_cancel_rate_zone,delivery_revenue,incentive_given,order_accepted
10001,Delhi,Suburban,2.3,15.7,177.0,30.0,1.59,Cloudy,0.09,30.3,41.1,3.1,High,13,Saturday,1,0,21.7,21.6,0.746,0.029,86.64,44.0,0
10002,Jaipur,East,12.4,37.4,283.0,68.0,1.08,Cloudy,0.06,27.1,73.0,4.0,Very High,16,Wednesday,0,0,16.8,15.2,0.881,0.295,135.7,49.0,1
10003,Chennai,Airport,13.2,56.9,702.0,76.0,1.23,Clear,0.04,28.2,43.4,8.3,High,7,Monday,0,0,17.6,18.2,0.83,0.074,247.92,46.0,1
10004,Hyderabad,South,3.9,24.4,192.0,43.0,1.0,Light Rain,0.38,19.6,87.6,4.0,Low,8,Thursday,0,0,11.9,30.2,0.816,0.137,85.24,47.0,1
10005,Mumbai,West,3.6,14.8,352.0,31.0,2.03,Cloudy,0.14,42.6,77.2,3.7,High,19,Friday,0,1,10.3,25.1,0.769,0.247,140.37,67.0,1
10006,Mumbai,Central,6.5,23.8,142.0,42.0,2.4,Clear,0.01,30.5,34.0,41.2,Medium,20,Sunday,1,0,11.3,17.8,0.765,0.087,132.04,45.0,1
10007,Mumbai,Airport,6.2,33.2,184.0,39.0,1.19,Clear,0.06,28.4,48.0,7.8,Medium,23,Saturday,1,0,12.9,25.0,0.869,0.047,86.89,42.0,0
10008,Kolkata,North,4.0,22.1,367.0,39.0,1.01,Cloudy,0.12,23.4,49.5,13.9,Low,4,Sunday,1,0,13.2,22.5,0.885,0.09,120.13,46.0,1
10009,Hyderabad,South,2.1,18.9,278.0,26.0,2.33,Fog,0.05,29.6,86.3,7.3,Very High,19,Wednesday,0,0,7.1,23.0,0.969,0.093,121.74,52.0,1
10010,Chennai,Industrial,5.4,32.2,221.0,44.0,1.06,Cloudy,0.0,19.0,83.5,7.4,Medium,4,Monday,0,0,9.8,17.3,0.775,0.32,95.26,14.0,0
10011,Mumbai,Central,6.2,23.0,573.0,55.0,1.04,Fog,0.18,34.0,86.1,3.0,High,1,Wednesday,0,0,12.1,15.7,0.891,0.111,183.26,50.0,0
10012,Jaipur,Central,6.9,31.2,154.0,43.0,1.01,Heavy Rain,0.84,24.5,94.9,6.4,Low,17,Sunday,1,0,10.1,22.8,0.659,0.214,77.31,68.0,1
10013,Pune,Airport,5.5,29.9,227.0,43.0,1.15,Light Rain,0.39,39.3,66.6,40.1,Low,0,Wednesday,0,0,9.6,17.2,0.837,0.182,99.39,64.0,1
10014,Delhi,North,3.8,18.6,313.0,36.0,1.23,Light Rain,0.38,38.1,34.2,9.7,Low,3,Monday,0,0,24.2,18.5,0.767,0.11,113.14,39.0,1
10015,Mumbai,North,8.1,37.8,158.0,53.0,1.18,Light Rain,0.36,24.6,64.3,16.0,Low,9,Tuesday,0,0,28.8,17.9,0.873,0.038,97.3,17.0,0
10016,Mumbai,East,4.7,27.5,316.0,44.0,1.26,Cloudy,0.11,34.1,63.5,16.8,High,23,Thursday,0,0,27.2,25.6,0.601,0.041,124.96,46.0,0
10017,Delhi,West,3.4,20.7,419.0,30.0,1.16,Cloudy,0.14,40.4,61.2,8.5,Low,9,Friday,0,0,11.0,19.3,0.541,0.247,126.98,53.0,1
10018,Bangalore,Airport,4.0,17.8,231.0,41.0,1.63,Clear,0.03,41.9,30.7,2.1,Very High,14,Tuesday,0,0,10.5,17.5,0.71,0.263,117.65,39.0,0
10019,Bangalore,South,1.6,8.8,174.0,29.0,1.26,Cloudy,0.01,37.0,39.2,16.5,Very High,17,Tuesday,0,0,8.6,30.1,0.886,0.011,74.82,13.0,1
10020,Delhi,West,4.0,22.7,209.0,37.0,2.5,Light Rain,0.44,33.9,43.2,8.8,Medium,13,Sunday,1,0,13.9,24.3,0.889,0.308,138.48,56.0,1
10021,Hyderabad,South,6.8,24.4,100.0,58.0,1.26,Clear,0.05,28.2,86.9,4.0,Medium,6,Sunday,1,0,10.5,21.4,0.824,0.093,95.08,44.0,1
10022,Mumbai,Central,5.5,30.7,405.0,43.0,1.53,Clear,0.0,34.6,38.0,5.3,Medium,11,Friday,0,0,17.5,33.1,0.962,0.154,154.89,24.0,1
10023,Delhi,Suburban,11.2,40.2,279.0,77.0,1.3,Clear,0.13,23.1,58.5,16.8,Medium,7,Sunday,1,0,9.2,26.3,0.968,0.138,161.48,51.0,0
10024,Delhi,Suburban,3.8,16.4,224.0,36.0,1.29,Clear,0.0,38.6,68.9,12.3,Medium,9,Wednesday,0,0,11.7,24.2,0.814,0.111,95.72,54.0,1
10025,Bangalore,Airport,6.0,24.5,106.0,39.0,1.26,Fog,0.1,43.9,46.0,7.2,Medium,0,Sunday,1,0,20.1,24.6,0.962,0.145,72.46,28.0,1
