order_id,city,zone,distance_km,estimated_time_min,order_value,base_delivery_fee,surge_multiplier,weather,rain_intensity,temperature,humidity,wind_speed,traffic_level,hour_of_day,day_of_week,is_weekend,festival_flag,restaurant_prep_time,historical_rider_speed,historical_acceptance_rate_zone,historical_cancel_rate_zone,delivery_revenue
10001,Hyderabad,West,3.6,21.0,223.0,39.0,1.13,Clear,0.04,20.3,69.0,46.8,High,4,Thursday,0,0,16.9,25.5,0.804,0.062,93.13
10002,Bangalore,East,9.5,34.5,550.0,70.0,1.94,Cloudy,0.14,40.1,38.3,3.1,Medium,20,Wednesday,0,0,13.9,16.7,0.442,0.106,256.8
10003,Kolkata,Suburban,9.9,34.3,292.0,63.0,1.25,Fog,0.07,33.7,70.6,7.4,High,0,Friday,0,0,19.9,27.7,0.62,0.026,142.99
10004,Mumbai,South,2.7,16.1,181.0,34.0,1.2,Clear,0.01,25.0,82.6,11.7,Low,16,Thursday,0,0,10.0,31.5,0.757,0.233,80.62
10005,Delhi,Airport,7.8,43.4,204.0,48.0,1.21,Heavy Rain,0.66,28.2,51.0,4.0,Very High,14,Saturday,1,0,12.9,19.7,0.57,0.095,102.96
10006,Delhi,East,3.2,15.1,331.0,32.0,1.27,Cloudy,0.12,35.6,73.0,6.8,High,9,Saturday,1,0,12.6,23.0,0.718,0.04,113.46
10007,Bangalore,Suburban,8.2,32.5,175.0,67.0,1.11,Cloudy,0.12,34.2,76.7,7.9,High,17,Thursday,0,0,13.6,25.1,0.715,0.215,112.87
10008,Pune,Central,3.1,18.9,239.0,32.0,1.27,Cloudy,0.1,24.2,48.7,7.1,Low,7,Monday,0,0,19.9,13.9,0.789,0.053,93.22
10009,Delhi,South,2.0,12.3,400.0,30.0,1.14,Fog,0.07,32.9,63.5,10.8,Low,23,Monday,0,0,27.2,22.1,0.929,0.388,122.2
10010,Hyderabad,West,3.3,13.9,253.0,30.0,1.18,Cloudy,0.01,27.5,80.1,9.4,Low,8,Monday,0,0,7.1,18.3,0.832,0.093,91.06
10011,Delhi,Central,3.5,15.4,213.0,35.0,1.2,Clear,0.05,32.7,81.1,2.3,High,16,Tuesday,0,0,20.5,26.9,0.732,0.058,88.86
10012,Mumbai,West,6.5,31.4,270.0,52.0,1.22,Cloudy,0.1,26.3,46.5,1.6,High,9,Monday,0,0,9.8,14.4,0.911,0.226,122.84
10013,Hyderabad,North,6.2,37.5,197.0,52.0,1.21,Cloudy,0.0,26.0,59.1,6.0,Low,1,Friday,0,0,8.2,25.5,0.677,0.091,106.26
10014,Jaipur,Airport,3.9,17.8,294.0,34.0,1.22,Storm,1.0,20.9,36.0,10.6,Medium,15,Thursday,0,0,13.8,17.8,0.887,0.328,106.16
10015,Chennai,Suburban,3.0,18.3,114.0,36.0,1.03,Clear,0.07,32.6,30.8,5.8,Medium,6,Sunday,1,1,9.9,19.4,0.823,0.278,62.16
10016,Pune,Central,3.7,19.1,687.0,38.0,1.09,Cloudy,0.13,38.6,80.3,1.1,High,3,Friday,0,0,10.5,23.0,0.81,0.022,192.56
10017,Delhi,North,4.4,21.1,100.0,33.0,1.14,Cloudy,0.0,25.8,92.4,5.7,High,1,Tuesday,0,0,7.1,17.1,0.881,0.153,59.62
10018,Bangalore,North,11.5,46.1,330.0,60.0,2.45,Cloudy,0.0,34.0,80.1,23.6,Medium,14,Sunday,1,0,13.0,20.1,0.901,0.104,219.6
10019,Bangalore,North,3.9,18.7,372.0,39.0,1.3,Clear,0.07,22.4,40.0,13.9,Low,1,Monday,0,0,22.7,15.7,0.64,0.067,132.54
10020,Bangalore,South,5.5,18.1,214.0,45.0,1.67,Cloudy,0.09,17.7,35.0,7.3,Low,13,Sunday,1,0,17.6,22.8,0.605,0.055,122.23
10021,Mumbai,Industrial,2.6,16.8,191.0,31.0,2.49,Clear,0.0,26.6,46.4,13.2,Medium,22,Wednesday,0,0,8.2,21.5,0.706,0.112,119.21
10022,Bangalore,West,5.7,28.1,353.0,45.0,1.1,Cloudy,0.01,32.9,58.7,8.8,Low,1,Saturday,1,0,19.2,25.8,0.751,0.335,127.16
10023,Bangalore,East,3.3,16.1,178.0,32.0,1.18,Cloudy,0.06,32.1,32.6,6.1,Medium,5,Wednesday,0,0,13.1,24.5,0.837,0.042,76.92
10024,Mumbai,West,2.8,14.8,270.0,29.0,1.21,Fog,0.13,31.1,43.3,15.0,Very High,6,Sunday,1,0,5.5,19.5,0.935,0.181,94.49
10025,Chennai,Suburban,7.5,44.2,328.0,58.0,2.44,Light Rain,0.39,23.9,37.1,2.2,Medium,22,Friday,0,0,11.0,14.3,0.679,0.069,213.68
10026,Hyderabad,Airport,4.1,14.8,329.0,37.0,1.12,Cloudy,0.06,27.2,37.3,9.3,Low,16,Saturday,1,0,11.5,18.6,0.472,0.055,113.82
10027,Mumbai,West,2.5,15.8,226.0,32.0,1.14,Cloudy,0.1,27.3,77.5,13.0,Medium,18,Thursday,0,0,6.6,20.1,0.842,0.102,86.2
10028,Mumbai,South,2.7,12.1,268.0,29.0,1.05,Clear,0.0,33.6,61.6,4.6,Low,0,Wednesday,0,0,20.5,18.3,0.757,0.06,89.41
10029,Chennai,South,1.4,11.7,209.0,27.0,1.29,Clear,0.04,30.1,79.6,3.0,Medium,16,Saturday,1,0,16.4,26.1,0.549,0.019,80.81
10030,Mumbai,South,3.8,18.3,465.0,38.0,1.14,Cloudy,0.09,33.3,41.2,14.9,Very High,9,Saturday,1,0,11.6,20.5,0.993,0.146,145.62
10031,Delhi,East,3.7,21.4,240.0,39.0,1.16,Fog,0.17,34.1,57.1,2.8,High,10,Monday,0,0,12.3,26.1,0.905,0.088,98.04
10032,Jaipur,West,2.5,10.6,251.0,31.0,1.16,Clear,0.1,32.4,36.8,6.3,Medium,7,Tuesday,0,0,5.0,21.5,0.84,0.245,91.18
10033,Bangalore,West,3.4,17.4,469.0,37.0,1.3,Heavy Rain,0.73,32.6,55.5,7.6,Medium,4,Wednesday,0,0,10.9,21.6,0.677,0.236,151.28
10034,Pune,Central,2.5,12.5,426.0,29.0,1.29,Clear,0.02,30.6,63.8,15.1,Very High,15,Friday,0,0,40.3,17.6,0.399,0.212,131.13
10035,Kolkata,North,10.0,49.7,218.0,53.0,2.25,Clear,0.0,32.8,43.1,12.1,Medium,21,Sunday,1,0,7.7,18.8,0.812,0.148,167.21
